ship_name,operator,url,callsign,IMO_number,MMSI_number,crew,capacity
Running on Waves,88 Parsec Ltd,https://www.vesselfinder.com/vessels/RUNNING-ON-WAVES-IMO-9589205-MMSI-229383000,9HA3288,9589205,229383000,19,42
Adriana,Adriana Cruises,https://en.wikipedia.org/wiki/MS_Adriana,V4CH2,7118404,341857000,100,350
AIDAaura,AIDA Cruises,https://en.wikipedia.org/wiki/AIDAaura,IBNZ,9221566,247117400,418,1300
AIDAbella,AIDA Cruises,https://en.wikipedia.org/wiki/AIDAbella,ICGS,9362542,247229700,646,2500
AIDAblu,AIDA Cruises,https://en.wikipedia.org/wiki/AIDAblu,IBWX,9398888,247282500,607,2500
AIDAcara,AIDA Cruises,https://en.wikipedia.org/wiki/AIDAcara,IBNR,9112789,247117300,360,1339
AIDAdiva,AIDA Cruises,https://en.wikipedia.org/wiki/AIDAdiva,ICDH,9334856,247187700,646,2500
AIDAluna,AIDA Cruises,https://en.wikipedia.org/wiki/AIDAluna,ICLP,9334868,247255400,607,2500
AIDAmar,AIDA Cruises,https://en.wikipedia.org/wiki/AIDAmar,ICSJ,9490052,247312900,620,2686
AIDAnova,AIDA Cruises,https://www.vesselfinder.com/vessels/AIDANOVA-IMO-9781865-MMSI-247389200,IBUK,9781865,247389200,1500,6600
AIDAperla,AIDA Cruises,https://en.wikipedia.org/wiki/AIDAperla,IBRL,9636967,247385300,900,4350
AIDAprima,AIDA Cruises,https://en.wikipedia.org/wiki/AIDAprima,IBGU,9636955,247353800,900,3400
AIDAsol,AIDA Cruises,https://en.wikipedia.org/wiki/AIDAsol,ICPE,9490040,247302900,609,2686
AIDAstella,AIDA Cruises,https://en.wikipedia.org/wiki/AIDAstella,ICUP,9601132,247322800,620,2700
AIDAvita,AIDA Cruises,https://en.wikipedia.org/wiki/AIDAvita,IBNP,9221554,247114900,426,1582
American Glory,American Cruise Lines,https://www.cruisemapper.com/ships/American-Glory-824,WDA8860,8972338,366858820,22,54
Independence,American Cruise Lines,https://en.wikipedia.org/wiki/Independence_(cruise_ship),WDF3297,9583366,367438210,400,1073
Queen of the Mississippi,American Cruise Lines,https://en.wikipedia.org/wiki/Queen_of_the_Mississippi_(2015_ship),WDH7491,,367648680,40,150
St Helena,Andrew Weir Shipping Ltd,https://en.wikipedia.org/wiki/RMS_St_Helena_(1989),MMHE5,8716306,232669000,56,156
